INTL ARRIVALS FOR,,,,1-Aug,,,,,,,"REVISED AUG 11,2022",,,,,,
DO NOT TYPE IN GREY AREA,,Do NOT sort sheet or will  break formulas,,,,,,,,,,,,,,,
FLIGHT*,FROM,ETA*,GATE*,IAB PAX*,IAB BAGS,FIS PAX*,FIS BAGS*,SSR,UMNR WCHR YPTA ETC,,     FLT-CTY/15+PAX ,NOTES ,,,,,
FLT,ETA,PAX TO UA,BAGS TO UA,FLT,ETA,PAX TO UA,BAGS TO UA,,,,,,,,,,
,,,,,,,,,,,,,,,,,
LH414,2020,,,OS93,1427,116,117,,,,,,,,,,
TP231,1452,2,2,LH416,1414,92,113,,,,,,,,,,
TK7,2042,15,21,SN515,NO OP,,,,,,,,,,,,
AV582,1605,,,SK925,1530,60,66,,,,,,,,,,
AV246,1356,4,6,LH418,1628,162,177,,,,,,,,,,
CM443,1506,28,23,,,,,,,,,,,,,,
,TOTAL,49,52,,TOTAL,430,473,,,,,,,,,,
ONLY ENTER INFORMATION IN GREEN AREA,0,,,6:*CFLT/CTY,6:LDFLT#OC/ALL,USE UFD,USE UFD,,,,,,,,,,
FLIGHT*,FROM,ETA*,GATE*,TOTAL PAX,TRNFR PAX,TOTAL BAGS,CITY BAGS,,,,,,,,,,
261,MAD,1334,C1,224,144,227,77,, ,,,,,,,,
123,LHR,1345,C8,162,81,176,87,, ,,,,,,,,
991,BCN,1405,C5,275,169,296,115,<<enter data here,,,,,,,, ,
951,BRU,1429,C4,345,220,466,172,,,,,,,,,, 
885,FCO,1424,C12,275,140,257,136,,prints only top half finally',,,,,,,,
947,AMS,1435,C6,224,104,194,110,,,,,,,,,,
1567,MEX,1430,C9,147,30,155,129,,,,,,,,,,
975,GVA,1441,C3,161,94,149,66,,,,,,,,,,
914,CDG,1454,C2,275,146,280,150,,,,,,,,,,
943,LIS,1512,C8,226,163,192,52,,,988,,,,,,,
919,LHR,1527,C1,275,126,298,169,,do not attempt to sort…will break formulas,,,,,,,,
983,ATH,1527,C12,240,122,262,127,,,,,,,,,,
1694,CUN,1526*,C11,176,75,139,75,,,,,,,,,,
979,EDI,1537,C7,168,98,185,86,,,on the green bottom half and will translate to the blue,,,,,,,
53,ZRH,1544,C5,161,65,173,105,,,,,,,,,,
235,BER,1526,C6,222,143,204,86,,,,,,,,,,
1614,PUJ,1537*,C9,177,23,128,116,,,,,,,,,,
109,MUC,1551,C3,268,132,269,144,,,,,,,,,,
988,FRA,1553,C2,350,191,418,209,,,,,,,,,,
804,HND,1701,C1,275,100,389,258,,,,,,,,,,
229,DUB,1515,D32,227,126,213,96,,,,,,,,,,
2281,NAS,NO OP,,,,,,,,,,,,,,,
1648,AUA,2046*,D6,168,35,150,150,,,,,,,,,,
,,,,,,,,,,,,,,,,,
331,CDG,1927*,C5,275,0,293,293,,,,,,,,,,
933,FRA,2000*,C3,236,0,299,299,,,,,,,,,,
925,LHR,2003*,C7,143,0,91,91,,,,,,,,,,
1133,CUN,2030*,C1,174,0,132,132,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
